,제목,URL,조회수,업데이트 날짜,영상 길이,영상 좋아요 수
34,(Eng) 디올 가구 조립하는 거 처음보지? 돈 쓰고도 이렇게 힘들다니...,https://www.youtube.com/watch?v=jrErRx9uMTw,46103,2022-12-30,0:04:35,1561
35,(Eng) 자발적 가스라이팅 당하다!! 코코언니는 샤넬의 노예입니다... 프리미에르 워치 찾아 일본까지 다녀옴.,https://www.youtube.com/watch?v=rlSxJpT8kCw,94691,2022-12-23,0:05:55,2702
36,"(Eng) 샤넬에서 매일 줄서서 산 헤어밴드, 양말, 머리핀. 가격은 사소하지 않아~",https://www.youtube.com/watch?v=d6H6G4Zn9X4,47435,2022-12-16,0:03:58,1482
37,코스트코에서 사야 할 화장품 추천~ 새로 오픈한 고척점에서 신세계를 경험했어요(+ 5분께 뷰티템 쏩니다),https://www.youtube.com/watch?v=BGfudSrWezc,43664,2022-12-09,0:07:54,977
38,"(Eng) 샤넬 군밤 모자, 코코언니랑 어울리나요? 겨울 맞이 샤넬 쇼핑 후기",https://www.youtube.com/watch?v=SiIk0qtWDwE,84999,2022-12-02,0:06:26,2547
39,(Eng) 샤넬 VIP선물보다 제주행 비행기값이 쌌을 뿐이야~ 레어템 가득한 샤넬 제주 팝업 쇼핑후기,https://www.youtube.com/watch?v=i4N24wfN3PM,127911,2022-11-25,0:06:49,3191
40,(Eng) 금은보화로 패션 세계 정복할 뻔한 코코언니의 최애 주얼리 추천 리스트,https://www.youtube.com/watch?v=gwSVWbDhr1c,95938,2022-11-18,0:06:17,2269
41,"(Eng) 샤넬 파리 깜봉에서 제대로 호구된 코코언니, 아껴둔 쇼핑후기 풉니다~",https://www.youtube.com/watch?v=ceKwbs5CESI,147209,2022-11-11,0:05:46,3463
42,(Eng) 패피라면 다 간다는 일식 브런치 코스요리 오가타 파리. 파리 브이로그 6탄!,https://www.youtube.com/watch?v=gMcWpvGkTHQ,19213,2022-11-06,0:05:36,481
43,매일 해도 질리지 않아~ 블랙 다이아몬드 주얼리 (ft.파리에서 온 콜로프),https://www.youtube.com/watch?v=GTv1twg_z70,94582,2022-10-28,0:08:10,1776
44,(Eng) 가을멋내기 이 정도 있으면 쉽지~ 아디다스 삼바부터 프라다 부츠까지 추천템 7,https://www.youtube.com/watch?v=SfEuEvu7q6o,84927,2022-10-21,0:05:13,1707
45,노력하면 예뻐집니다~ 리모델링 욕실 & 매일 사용하는 아이템 공개(feat. FAQ102),https://www.youtube.com/watch?v=Ny9eB1LEZpo,47493,2022-10-14,0:06:25,965
46,(Eng) 불편해도 예쁘면 다야~너무 예쁜 수영장이 있는 호텔 몰리터 다녀온 후기. 파리 브이로그 5탄!,https://www.youtube.com/watch?v=KB7h0Daw6AE,17529,2022-10-07,0:02:50,500
47,(Eng) 샤넬로 깔맞춤 2세트 해봤어~ VIP만 구한다는 백팩 겸 호보백 버건디&검정,https://www.youtube.com/watch?v=KIbErYYx2jo,87937,2022-09-30,0:04:59,2271
48,"(Eng) 파리 럭셔리의 진수, 최고 핫플 슈발 블랑 다녀온 후기~ 파리 브이로그 4탄!",https://www.youtube.com/watch?v=eVcH6eGxUUI,27823,2022-09-23,0:06:38,793
49,젊어보이는 리바이스 데님 스타일링~코코언니 스타일 입어만 볼게요 (+구독자 이벤트),https://www.youtube.com/watch?v=2uKwg5N3TEU,34815,2022-09-16,0:05:01,966
50,"(Eng) 파리에서 한달동안 뭐했게? 버킨백 구입하기, 에펠탑 아래 피크닉, 세느강에서 보트타기, 프랑스 남자와 연애하기 등 다 들려드림.",https://www.youtube.com/watch?v=WF2xmQmLeRE,97238,2022-09-09,0:09:16,2265
51,"(Eng) 코코언니의 몽생미셸 한 바퀴, 여행 유튜버 되기 너무 힘들다~~ 파리 브이로그 3탄!",https://www.youtube.com/watch?v=mnlDghXjiQg,29225,2022-09-02,0:05:16,922
52,(Eng) 이것이 원조의 맛! 파리 디올 레스토랑에서 맛과 분위기를 즐겨요~ 파리 브이로그 2탄!,https://www.youtube.com/watch?v=OV3tOb8jCzA,38822,2022-08-26,0:05:39,964
53,(Eng) 파리 에펠탑뷰 호텔에서 인생샷 남겼어요~ 파리 브이로그 1탄!,https://www.youtube.com/watch?v=ggbZmTuHaCc,58251,2022-08-19,0:07:12,1803
54,(Eng) 샤넬 언박싱이 세상에서 가장 쉬웠어요~ (ft. 샤넬 공방컬렉션),https://www.youtube.com/watch?v=POsw9Lq842Q,107499,2022-08-12,0:05:24,2558
55,"(Eng) 디올 그릇과 함께하는 소규모 언박싱, 여자라서 행복해요~",https://www.youtube.com/watch?v=pJQvC_geKqI,42845,2022-08-05,0:04:11,2086
